###############################################################################
# Copyright ou (C) ou Copr. Commissariat a Energie Atomique et aux Energies   #
# Alternatives, 2020.                                                         #
#                                                                             #
# Ce logiciel est la propriete intellectuelle entiere du CEA.                 #
# Vous pouvez utiliser ce programme uniquement sur des machines du CEA a la   #
# condition que les responsables du programme vous en ont donne               #
# l'autorisation et l'acces.                                                  #
# Il est interdit de copier ce programme et ses sources sur des machines      #
# non administrees par le CEA.                                                #
#                                                                             #
# Le fait que vous puissiez acceder a cet en-tete signifie que vous en avez   #
# pris connaissance et que vous en acceptez les termes.                       #
###############################################################################
-12287.999268 24524.001464 1266.0933809 
-12237.999268 24524.001464 1267.34299946 
-12187.999268 24524.001464 1268.58768243 
-12137.999268 24524.001464 1269.82699203 
-12087.999268 24524.001464 1286.92768156 
-12037.999268 24524.001464 1273.09408051 
-11987.999268 24524.001464 1276.79419839 
-11937.999268 24524.001464 1283.86574495 
-11887.999268 24524.001464 1286.61808096 
-11837.999268 24524.001464 1294.36516843 
-11787.999268 24524.001464 1300.21529928 
-11737.999268 24524.001464 1322.4912381 
-11687.999268 24524.001464 1326.12062978 
-11637.999268 24524.001464 1329.53874295 
-11587.999268 24524.001464 1332.95995805 
-11537.999268 24524.001464 1336.16419247 
-11487.999268 24524.001464 1339.09195256 
-11437.999268 24524.001464 1343.40430637 
-11387.999268 24524.001464 1346.73499071 
-11337.999268 24524.001464 1341.49037827 
-11287.999268 24524.001464 1358.44960921 
-11237.999268 24524.001464 1387.34906771 
-11187.999268 24524.001464 1393.43824955 
-11137.999268 24524.001464 1393.27587131 
-11087.999268 24524.001464 1386.60909222 
-11037.999268 24524.001464 1353.04477961 
-10987.999268 24524.001464 1289.52040236 
-10937.999268 24524.001464 1287.41946491 
-10887.999268 24524.001464 1293.43110178 
-10837.999268 24524.001464 1296.57120279 
-10787.999268 24524.001464 1302.03528739 
-10737.999268 24524.001464 1307.15755241 
-10687.999268 24524.001464 1312.46597722 
-10637.999268 24524.001464 1320.22259095 
-10587.999268 24524.001464 1331.07672264 
-10537.999268 24524.001464 1345.09218658 
-10487.999268 24524.001464 1348.21698794 
-10437.999268 24524.001464 1352.84377518 
-10387.999268 24524.001464 1373.0304458 
-10337.999268 24524.001464 1427.90328057 
-10287.999268 24524.001464 1462.35108248 
-10237.999268 24524.001464 1464.73432818 
-10187.999268 24524.001464 1463.69110665 
-10137.999268 24524.001464 1466.02510663 
-10087.999268 24524.001464 1468.35756303 
-10037.999268 24524.001464 1472.75448195 
-9987.9992676 24524.001464 1490.5909765 
-9937.9992676 24524.001464 1499.52956638 
-9887.9992676 24524.001464 1506.13129003 
-9837.9992676 24524.001464 1513.79853975 
-9787.9992676 24524.001464 1524.45576772 
-9737.9992676 24524.001464 1547.30640768 
-9687.9992676 24524.001464 1545.27244992 
-9637.9992676 24524.001464 1548.57897263 
-9587.9992676 24524.001464 1549.51374237 
-9537.9992676 24524.001464 1548.25009756 
-9487.9992676 24524.001464 1551.4066119 
-9437.9992676 24524.001464 1554.04008442 
-9387.9992676 24524.001464 1553.73991697 
-9337.9992676 24524.001464 1550.40165363 
-9287.9992676 24524.001464 1559.03056609 
-9237.9992676 24524.001464 1567.36647589 
-9187.9992676 24524.001464 1575.48165785 
-9137.9992676 24524.001464 1582.43148538 
-9087.9992676 24524.001464 1579.74079773 
-9037.9992676 24524.001464 1608.76572638 
-8987.9992676 24524.001464 1640.94418703 
-8937.9992676 24524.001464 1640.53192796 
-8887.9992676 24524.001464 1641.40210537 
-8837.9992676 24524.001464 1653.0109948 
-8787.9992676 24524.001464 1656.82461686 
-8737.9992676 24524.001464 1658.09551001 
-8687.9992676 24524.001464 1664.87187019 
-8637.9992676 24524.001464 1667.1425742 
-8587.9992676 24524.001464 1669.31793415 
-8537.9992676 24524.001464 1671.53727323 
-8487.9992676 24524.001464 1680.00174689 
-8437.9992676 24524.001464 1688.04731103 
-8387.9992676 24524.001464 1736.28765909 
-8337.9992676 24524.001464 1766.67596681 
-8287.9992676 24524.001464 1768.95389633 
-8237.9992676 24524.001464 1770.76515074 
-8187.9992676 24524.001464 1775.7807404 
-8137.9992676 24524.001464 1776.47414521 
-8087.9992676 24524.001464 1779.11443305 
-8037.9992676 24524.001464 1781.66917551 
-7987.9992676 24524.001464 1785.34016364 
-7937.9992676 24524.001464 1789.13308825 
-7887.9992676 24524.001464 1796.59910457 
-7837.9992676 24524.001464 1817.4127618 
-7787.9992676 24524.001464 1826.66028213 
-7737.9992676 24524.001464 1841.19182624 
-7687.9992676 24524.001464 1852.99761793 
-7637.9992676 24524.001464 1866.56222003 
-7587.9992676 24524.001464 1880.55145461 
-7537.9992676 24524.001464 1891.12535318 
-7487.9992676 24524.001464 1899.6028292 
-7437.9992676 24524.001464 1907.02298404 
-7387.9992676 24524.001464 1943.55026543 
-7337.9992676 24524.001464 1926.44435951 
-7287.9992676 24524.001464 1934.46451917 
-7237.9992676 24524.001464 1943.29963493 
-7187.9992676 24524.001464 1952.15354092 
-7137.9992676 24524.001464 2004.79470782 
-7087.9992676 24524.001464 1990.68334705 
-7037.9992676 24524.001464 2041.12257817 
-6987.9992676 24524.001464 2099.03832572 
-6937.9992676 24524.001464 2170.60551214 
-6887.9992676 24524.001464 2176.24064473 
-6837.9992676 24524.001464 2178.55684463 
-6787.9992676 24524.001464 2183.49380529 
-6737.9992676 24524.001464 2173.65807797 
-6687.9992676 24524.001464 2172.54052754 
-6637.9992676 24524.001464 2167.68054619 
-6587.9992676 24524.001464 2172.14442002 
-6537.9992676 24524.001464 2181.38804551 
